%         ;Responsable Marché des particuliers
ABACKET   ;Agent BO Etranger
RSPMCPINTE;Responsable Achats-Marketing Com & Prestation Inte
RSPMDLBOPP;Responsable Middle Office BackOffice Partenariat e
RSPMDLOFPI;Responsale Middle Office Partenariat et Pilotage
RSPMDLOPCF;Responsable Middle Office,Plateforme Crédit foncti
RSPMEPATSI;Responsable Projets et Patrimoine SI
RSPMERCH  ;Responsable Merchandising
RSPMIOFTRB;Responsable Middle Office Transaction Banking
RSPMOASTPP;Responsable Processus / MOA et Support transverse
RSPMOBINGR;Responsable Mobilité Intra-Groupe
RSPMOBINT ;Responsable Mobilité Intra-Groupe
RSPMONITOR;Responsable Monitoring
RSPMPRISKP;Responsable Mesure et Pilotage du Risque Pays
RSPMPRMARH;Responsable Mesure et Pilotage des risques de Marc
RSPMQUALIT;Responsable Management Qualité
RSPMRISKGR;Responsable Management des Risques Groupe
RSPMRKDPME;Responsable Marketing & Développement Entreprises
RSPMRKOPAR;Responsable Marketing Opérationnel (Particuliers)
RSPMRKOPRO;Responsable Marketing Opérationnel et actions com(
RSPMRKOPRV;Responsable Marketing Opérationnel et actions comm
RSPMULTICA;Responsable Multicanal
RSPMULTMED;Responsable Multimédia
RSPMUMEDOP;Responsable Multimedia Operations
RSPNCNFREG;Responsable Normes et Conformité Réglementaire
RSPNCNMRSK;Responsable Normes Risques de crédit
RSPNOMEGRP;Responsable Normes et Méthodes Groupe
RSPNRMCGRP;Responsable Normes & Méthodes Compliance Groupe
RSPNRMCPTA;Responsable Reporting et Normes Comptables
RSPNRMPCPT;Responsable normes et Procédures Comptables
RSPNSRISKG;Responsable Normes et Supports Risques Groupe
RSPOEUVSOC;Responsable Oeuvres Sociales
RSPOMDIEXP;Responsable Own Media & Digital Experience
RSPONBORD ;Responsable Onboarding
RSPOPINTER;Responsable Opérations Internationales
RSPORGA   ;Responsable Organisation et Excellence opérationne
RSPOSRISKG;Responsable Outils et Support Informatique Risques
RSPPAIEBNK;Responsable Paie Banque
RSPPAIEFI ;Responsable Paie Filiales Internalisées
RSPPARTSYN;Responsable Participations et Synergies
RSPPCA    ;Responsable PCA Groupe
RSPPCI    ;Responsable PCI
RSPPCLMINO;Responsable Parcours clients Multicanal & Innovati
RSPPCOPOCT;Responsable Pilotage Centralisé Octroi et Post Oct
RSPPCPLGRP;Responsable Pilotage Compliance et Vigilance Group
RSPPCRESEX;Responsable Pilotage Commercial Réseau Extérieur
RSPPCRMARM;Responsable Pilotage Commercial Réseau Maroc & Mul
RSPPCSBUDA;Responsable Pilotage, Coordination et Suivi Budg-
RSPPCTRPRX;Responsable Pilotage & Coord.Transver.Recouvr.Préc
RSPPDEVPME;Responsable Prospection & Développement Entreprise
RSPPECRISK;Responsable Pilotage des Engagements et du Coût du
RSPPERHGRP;Responsable Performance RH Groupe
RSPPFPIF  ;Responsable Plateforme Project & Investment Financ
RSPPFPSGRP;Responsable Pilotage des Fonds Propres et Solvabil
RSPPIANPME;Responsable Pilotage & Animation Entreprises
RSPPICOFIL;Responsable Pilotage Conformité filiales
RSPPICOMPP;Responsable Pilotage Commercial Part / Pro
RSPPICORHG;Responsable Pilotage & Coordination RH Groupe
RSPPIFCIFR;Responsable Pilotage Filiales et consolidation IFR
RSPPILCHMA;Responsable Pilotage Change Management
RSPPILESE ;Responsable Pilotage Entreprises
RSPPILGE  ;Responsable Pilotage Grandes Entreprises
RSPPILOT  ;Responsable Pilotage 
RSPPILOTRH;Responsable Pilotage RH Groupe
RSPPILQCSM;Responsable Pilotage et Qualité CSM RH
RSPPIRHREG;Responsable Pilotage RH Régions
RSPPISUEPP;Responsable Reporting et Pilotage (Suivi des Engag
RSPPLEARN ;Responsable de Programme Learning
RSPPLEARN2;Responsable de Programme Learning
RSPPLINTPE;Responsable Plateforme d'instruction TPE
RSPPMOBUDG;Responsable PMO & Budget
RSPPMORH  ;Responsable PMO RH
RSPPOCPLGP;Responsable Projets Outils Conformité Groupe et As
RSPPOL    ;Responsable
RSPPQCSMRH;Responsable Pilotage Social, Assiduité & Congé
RSPPQULFOR;Responsable Performance & Qualité de la Formation
RSPPRCMPTA;Responsable Production & Support-Reporting & Norme
RSPPRCTXES;Responsable de Portefeuille - Recouvrement Pré-CTX
RSPPRCTXPP;Responsable de Portefeuille - Recouvrement Pré-CTX
RSPPREINIS;Responsable promotion des échanges et des investis
RSPPRELCLT;Responsable Plateforme Relation Client
RSPPRJFIN ;Responsable Project Finance
RSPPRJINOV;Responsable Projets & Innovation SIRH
RSPPROJETS;Responsable Digital et Data Groupe
RSPPROJFIN;Responsable Project Finance
RSPPROSPEC;Responsable Prospection
RSPPRRCTXX;Responsable Pilotage-Reportings-Recouvrement Pré-C
RSPPRRECTX;Responsable Pilotage & Reportings - Recouvrement P
RSPPRREPP ;Responsable Pilotage & Reportings - Recouvrement P
RSPPSEGESE;Responsable de Portefeuille - Surveillance Engagem
RSPPSEGPP ;Responsable de Portefeuille - Surveillance Engagem
RSPPSFIGRP;Responsable Planification Stratégique & Financière
RSPPSMRCTX;Responsable Pilotage Support & Moyens Recouvrement
RSPQLICRTI;Responsable Qualité & Certification
RSPQUALGRP;Responsable Qualité Groupe
RSPRBANKEX;Responsable Correspondent Banking Maroc
RSPRBFINEX;Responsable Correspondent Banking Group
RSPRCRDGRP;Responsable Risques de Crédit Groupe
RSPRCRISKO;Responsable Reporting & Collecte des Risques Opéra
RSPRECPESE;Responsable Recouvrement Précontencieux Entreprise
RSPRECPRPP;Responsable Recouvrement Précontentieux Part/Pro
RSPRECSTG ;Responsable Recrutement, Stages & Relations Ecoles
RSPRECTXEN;Responsable Recouvrement Contentieux Entreprises
RSPREGFSRS;Responsable Règlement Fournisseurs
RSPRELPART;Responsable Relation Partenaires
RSPREM    ;Responsable Rémunération
RSPREPCOSU;Responsable Reporting Coordination et Support
RSPRESBUDG;Responsable Reporting & Suivi des Budgets
RSPRESTFIN;Responsable Restructuration Financière
RSPRFINCON;Responsable Restructuration financière et consolid
RSPRINVEST;Responsable Relations Investisseurs
RSPRISKCFB;Responsable Risques de Contrepartie Filiales Banca
RSPRISKMAR;Responsable Risques de Marché
RSPRISKOGP;Responsable Risques Opérationnels Groupe
RSPRISKOMA;Responsable Risques Opérationnels Maroc
RSPRJRH   ;Responsable Projets Transversaux RH
RSPRLEARN ;Responsable de Relation Learning
RSPRMAPCTX;Responsable Relationship Manager Portefeuilles CTX
RSPRMOPUB ;Responsable Relations Médias et Opinion Publique
RSPRPCSATA;Responsable Revue Plans Cont.Suivi.Ano.Transv. Act
RSPRPCSATF;Responsable Revue Plans Cont & Suivi des Ano.Trans
RSPRPCSATR;Responsable Revue Plans Cont & Suivi des Ano. Tran
RSPRPSTRAN;Responsable Reporting, Pilotage et Surveillance Tr
RSPRPUBGRP;Responsable Relations Publiques Groupe
RSPRSECERT;Responsable RSE et Certifications
RSPRSKCAPT;Responsable Risques de Contreparties Afriq. & Proj
RSPRSKCFAF;Responsable Risque contrep. des Filial. Afric-Fran
RSPRSKCFAG;Responsable Risq.contrepart.Filiales Afric.Anglo.G
RSPRSKCOMA;Responsable Risque de Contrepartie sur opérations
RSPRSKENSO;Responsable Risques Environnementaux et Sociaux
RSPRSKOFIC;Responsable Risques Opérat. Filiales Internat. & C
RSPSARAAJU;Responsable Saisies-Arrets et Relat. avec les Auxi
RSPSASENG ;Responsable Data & Analytics de la Surveillance de
RSPSBCFRSS;Responsable Suivi des Budgets et Comptabilité Four
RSPSCENPME;Responsable Suivi & Coordination des Engagements E
RSPSCFACTO;Responsable Strategy & Content Factory
RSPSECFIN ;Responsable Sécurité Financière
RSPSECFINN;Responsable Sécurité Financière
RSPSECINFO;Responsable Sécurité Informatique
RSPSECPAMU;Responsable Sécurité Patrimoine & Multimédia
RSPSECUFIN;Responsable Sécurité financière et embargos
RSPSEEGACO;Responsable Surveillance Engagements Eses-GRAND CA
RSPSEENREG;Responsable Surveillance Engagements Entreprises -
RSPSENGESE;Responsable Surveillance des engagements Entrepris
RSPSENPPGA;Responsable Surveillance Engagements Part/Pro - GR
RSPSEPPREG;Responsable Surveillance Engagements Part/Pro - RE
RSPSERESE ;Responsable du suivi des Engagements Région - Entr
RSPSERRET ;Responsable du suivi des Engagements Région - Reta
RSPSIENGPP;Responsable Suivi de La Gestion des Engagements Pa
RSPSIRH   ;Responsable SIRH
RSPSIRHTEC;Responsable SIRH et Technologie
RSPSM     ;Responsable Support et Moyens
RSPSMIBICA;Responsable SMI et Bilan Carbone
RSPSOMRCTX;Responsable Support, Outils & Moyens - Recouvremen
RSPSONSORN;Responsable Sponsoring
RSPSOREEC ;Responsable sourcing et relations écoles
RSPSPENREG;Responsable Supervision de portefeuille Engagement
RSPSPSENGE;Responsable Support, Pilotage et suivi des engagem
RSPSQEVPCE;Responsable Qualité Certifications Projets Immobil
RSPSTRAGRP;Responsable Stratégie Groupe
RSPSTTRANS;Responsable Stratégie et Transformation
RSPSUC    ;Responsable Succursale
RSPSUENGPP;Responsable Surveillance des Engagements Part/Pro
RSPSUPBAKO;Responsable Support Back Office
RSPSUPEENG;Responsable Surveillance Permanente des Engagement
RSPSUPIMCM;Responsable Support & Implémentation CM
RSPSUPPILO;Responsable Supervision et Pilotage
RSPSUPPROD;Responsable Support & Production
RSPSURSHEX;Responsable Sûreté, sécurité Réseau & Sites Hors E
RSPSUSEEC ;Responsable Sûreté, sécurité Entités Centrales
RSPTCLERNG;Responsable Tour de contrôle Learning
RSPTEC    ;Responsable Technique
RSPTELE   ;Responsable Téléphone
RSPTFATCRS;Responsable Transparence Fiscal (FATCA & CRS)
RSPTPOG   ;Responsable Transformation,Processus,Organisation
RSPTRADCBD;Responsable Trade & Cash Business Developpement
RSPTRADE  ;Responsable BMCE TRADE
RSPTRADFIN;Responsable Trade Finance
RSPTRANCIB;Responsable Transformation MAROC & CIB
RSPTRBKSUP;Responsable Transaction Banking Business Support
RSPTRCUGRP;Responsable Transformation Culturelle Groupe
RSPTRGOCIB;Responsable Transformation & Gouvernance CIB
RSPTRSRFIN;Responsable Trésorerie Financier
RSPTRSTGRP;Responsable Transactions et Structuration Groupe
RSPTSMAGRP;Responsable Carrière et Talent Groupe
RSPVESTRTG;Responsable Veille Stratégique
RSPVIGIGRP;Responsable Vigilance Groupe
RSPVLERGRP;Responsable Veille Réglementaire Groupe
RSPVNMPGC ;Responsable Veill. Norm. Métho.Projets & Gest. Con
RSPVSININF;Responsable Veille Stratégique, Innovation et Infl
RSUPFOR   ;Responsable du Support Gestion Administartive de F
RTBOU     ;Responsable Section Traitements Bourse
RÉGISSEUR ;Régisseur
SAISON    ;Saisonniers
SCECOM    ;Service Communs
SCOCHA    ;Agent de service
SCOCON    ;Service Communs Convoyeur
SCOCOR    ;Agent de service
SCOGRB    ;Agent de service
SCOSEC    ;Service Communs Secrétaire
SCOSTA    ;Opérateur Standard
SECR      ;Assistante
SECRET    ;Secrétariat Relations
SECRET1   ;Assistante
SECRET3   ;Assistante du Président
SECRET4   ;Assistante Exécutive auprès de la A.D.G.D
SECUR     ;Agent de sécurité
SENBANK   ;Sénior Banker
SEROPMANG ;Servicing & Operation Manager
SEROPMANGE;Servicing & Operation Manager GE
SERVE     ;Serveur
SMANCOECOS;Senior Manager Animation Commerciale & Ecosystèmes
SMCMOMPME ;Senior Manager en charge du Marketing opérati. Mar
SOCIAL    ;Responsable des Affaires Sociales
SPDIGLEARN;Spécialiste Digital Learning
SPINTCMPTA;Spécialiste Interpréteur Comptable
SPREFRORGA;Spécialiste Référentiel (Organisation)
STAGIAIRE ;STAGIAIRE
STDRD     ;Standardiste
SUPACHAT  ;Support Achat
SUPADM    ;Support Administratif
SUPAGCDIRC;Superviseur Agence Directe
SUPASSUT  ;Support & Assistance Utilisateur
SUPCGATRAN;Superviseur Contrôle Général – Activités transvers
SUPCGAUDIT;Superviseur Contrôle Général - Audit
SUPCGFRDIN;Superviseur Contrôle Général - Fraude et Investiga
SUPCGITDTA;Superviseur Contrôle Général IT
SUPCOM    ;Support et Assistance Commerciale
SUPERCRC  ;SUPERVISEUR CRC
SUPERVISEU;Superviseur
SUPSENGESE;Superviseur Suivi des Engagements Entreprises
SUPSENGPP ;Superviseur Suivi des Engagements Part / Pro
SUSTAADVOC;Sustainability Advocacy
SUTELOEV  ;Support Technique et Logistique EVMB
TBGESENIOR;Senior Transaction Banker Grandes Entreprises
TBPMESENIR;Senior Transaction Banker PME
TEBAT     ;Technicien Batiment
TECHCOM   ;Technico-commercial Métier
TECHIT    ;Technicien IT
TECHNICIEN;Technicien
TECINFO   ;Gestionnaire de données
TECSUC    ;Technicien Sécurité
TEMOB     ;Technicien Mobilier
TETELC    ;Technicien Télecom
TEXPINF   ;Technicien d'Exploitation Informatique
TRADINTERP;Traducteur Inteprète
TRAINT    ;TRADUCTEUR INTERPRETE
TRANSBANKR;Transaction Banker
VEILL     ;Veilleur de Nuit
VEILLC    ;Veilleur Confirmé
VEILLJ    ;Veilleur Junior
VEILLS    ;Veilleur Senior
VERIF     ;Vérificateur Interne
VERIFC    ;Vérificateur Central
VERIFCAF  ;Vérificateur Interne Centre d'affaires
VERIFCOR  ;Coordinateur Vérification
VERIFG    ;Vérificateur de Groupe
VERIFM    ;Vérificateur Mutualisé
VERJUPS   ;Vérificateur Interne Junior PS
VERSEN    ;Vérificateur Interne Sénior
VIRMENT   ;Service Virements
WEBGRAPH  ;Web Graphiste
XXXXX     ;.
